Target,Umag,eUmag,Bmag,eBmag,fVmag,Vmag,eVmag,Rmag,eRmag,Imag,eImag,ObsDate
GC 5998,--,--,7.19,0.05,--,7.05,0.05,7.01,0.06,6.8,0.04,2006Aug27
HD 31648,--,--,7.91,0.05,--,7.68,0.03,7.62,0.05,0.45,0.05,2006Aug28
HD 293782,10.93,0.07,10.70,0.06,--,10.33,0.05,10.07,0.05,9.75,0.04,2004Nov29
HD 293782,10.43,0.08,10.22,0.04,--,9.97,0.04,9.87,0.05,9.56,0.09,2005Dec10
HD 240764,10.86,0.04,11.07,0.03,--,10.32,0.04,9.78,0.04,9.17,0.04,2004Nov29
HD 244138,11.60,0.04,11.29,0.03,--,10.16,0.04,9.38,0.04,8.75,0.04,2004Nov29
HD 36112,8.59,0.07,8.56,0.06,--,8.28,0.05,8.11,0.05,7.95,0.04,2004Nov29
HD 36112,--,--,8.58,0.05,--,8.28,0.03,8.15,0.04,7.92,0.05,2006Aug28
CSV 630,10.29,0.07,10.43,0.06,--,10.06,0.05,9.67,0.05,8.99,0.04,2004Nov29
CSV 630,10.07,0.08,10.15,0.04,--,9.74,0.04,9.38,0.05,8.80,0.09,2008Aug27
