Target,F880,e_F880,ObsDate
Elia 2-24,890,3,averaged
EM* SR 24S,545,3,averaged
EM* SR 4,150,2,averaged
EM* SR 13,149,3,averaged
WSB 52,147,3,averaged
DoAr 33,80,2,averaged
WL 18,51,3,averaged
NAME DoAr 24E,49,2,averaged
