Target,F1200,eF1200,F2600,eF2600,F2700,eF2700,F2900,eF2900,F3400,eF3400,ObsDate
V* AB Aur,--,--,--,--,10.6,0.4,--,--,--,--,unknown
V* CQ Tau,151,3,--,--,--,--,--,--,13.0,1,unknown
V* UX Ori,19.8,2.0,3.8,0.4,--,--,--,--,--,--,unknown
V* WW Vul,9.1,1,--,--,--,--,1.2,0.3,--,--,averaged
