Target,F1300,e_F1300,F2600,e_F2600,F2700,e_F2700,ObsDate
V* AB Aur,--,--,--,--,10.6,0.4,unknown
HD 163296,441,12,--,--,--,--,unknown
EM* MWC 863,--,--,13.7,2.2,--,--,unknown
HD 245185,--,--,6.5,1.2,--,--,unknown
EM* MWC 480,--,--,--,--,39.9,0.8,unknown
EM* MWC 758,--,--,--,--,5.9,0.4,unknown
V* CQ Tau,--,--,--,--,18.0,0.6,unknown
