Target,F870,e_F870,ObsDate
HD 21997,17.6,8.0,unknown
HD 95086,41.3,18.4,unknown
HD 98800,33.6,8.4,unknown
HD 109573,21.5,6.6,unknown
HD 131835,8.5,4.4,unknown
HD 141569,12.6,4.6,unknown
HD 152404,42.9,9.8,unknown
HD 161868,12.8,5.2,unknown
HD 170773,18.0,5.4,unknown
HD 207129,5.1,2.7,unknown
HD 105,10.7,5.9,unknown
HD 30447,6.9,5.0,unknown
HD 195627,13.0,7.1,unknown
