Target,F1400,eF1400,ObsDate
V* HT Lup,77,4.0,2006Apr28
V* GW Lup,70,3.7,2006Apr28
V* IM Lup,214,4.3,2006Apr28
V* RU Lup,158,4.5,2006Apr28
V* HK Lup,101,3.9,2006Apr28
