Target,F1162,e_F1162,ObsDate
EM* AS 209,350.7,1.4,2014Jul17
V* IM Lup,276,2,averaged
V* V4046 Sgr,422.6,1.2,2015May13
EM* LkCa 15,204.4,0.7,2014Jun15
EM* MWC 480,373.1,1.1,2014Jun15
HD 163296,857,5,averaged
