Target,F7000,e_F7000,F36000,e_F36000,F1300,e_F1300,F3200,e_F3200,F3600,e_F3600,F1200,e_F1200,F3100,e_F3100,F3300,e_F3300,ObsDate
HD 34282,1,1,0.2,0.2,100,23,5.5,1,--,--,--,--,--,--,--,--,averaged
HD 35187,1.0,0.2,1.0,0.03,20,2,--,--,2.5,0.4,--,--,--,--,--,--,averaged
HD 142666,1.7,0.2,0.2,0.2,--,--,--,--,--,--,79,4,13,1,11,1,averaged
HD 143006,0.7,0.7,0.15,0.15,--,--,--,--,--,--,43,3,4.6,3,--,--,averaged
HD 150193,0.7,0.2,0.2,0.02,--,--,--,--,--,--,--,--,--,--,--,--,averaged
HD 163296,6,0.5,--,--,--,--,--,--,--,--,--,--,--,--,--,--,averaged
