Target,F70,eF70,ObsDate
V* S CrA,12.4,1.2,2004Apr11
[LEM2005b] CrA 466,0.146,0.027,2004Apr11
ISO-CrA 159,0.29,0.03,2004Apr11
[SHJ2008] G-85,0.41,0.04,2004Apr11
[SHJ2008] G-122,0.55,0.023,2004Apr11
[PCB2011] CrA-45,1.18,0.12,2004Apr11
[TS84] IRS 6,5.3,0.5,2004Apr11
[TS84] IRS 5 AB,17.3,1.7,2004Apr11
[TS84] IRS 2,32.8,3.3,2004Apr11
V* VV CrA,55,6,2004Apr11
V* V710 CrA,108,11,2004Apr11
[TS84] IRS 7W,234,36,2004Apr11
