Target,F1240,e_F1240
HIP 61782,0.71,0.11
HIP 62482,0.13,0.05
HIP 62657,1.29,0.11
HIP 63439,0.52,0.09
HIP 63975,0.62,0.08
HIP 64184,0.43,0.05
HIP 64995,0.18,0.05
HIP 65875,0.27,0.05
HIP 72070,1.46,0.15
HIP 73145,2.9,0.15
HIP 74959,0.16,0.07
HIP 76310,1.2,0.2
HIP 77911,0.13,0.05
HIP 78043,0.34,0.07
HIP 79288,0.2,0.06
HIP 79516,1.85,0.12
HIP 79742,0.88,0.09
HIP 79977,1.3,0.12
HIP 82747,35.93,0.15
HIP 84881,0.72,0.11
