Target,F870,eF870,F1300,eF1300,F2700,eF2700,F13400,eF13400,F35700,eF35700,ObsDate
V* CQ Tau,421,--,--,--,--,--,--,--,--,--,2008Jan24
V* CQ Tau,--,--,103,--,22,--,--,--,--,--,2006Jan15
V* CQ Tau,--,--,--,--,--,--,0.28,--,0.079,--,averaged
