Target,F1300,e_F1300,ObsDate
V* CY Tau,117,20,2007Nov12
V* DG Tau,317,28,averaged
V* DM Tau,90,8,2007Nov05
V* DN Tau,93,8,2007Nov05
V* DR Tau,109,11,averaged
V* GO Tau,57,8,2007Nov07
EM* LkCa 15,119,15,2007Oct27
V* RY Tau,227,20,2007Oct
V* UZ Tau E,126,12,2007Oct27
V* GM Aur,189,15,unknown
GSS 39,282,20,2008Apr12
EM* SR 24S,197,17,2008Apr13
V* TW Hya,543,45,unknown
EM* MWC 275,705,12,unknown
