Target,F887,e_F887,F3224,e_F3224,ObsDate
2MASS J04442713+2512164,9.0,0.2,--,--,2012Aug27
2MASS J04442713+2512164,--,--,0.87,0.03,2012Nov18
2MASS J04141760+2806096,27.0,0.3,--,--,2012Aug27
2MASS J04141760+2806096,--,--,2.1,0.03,2012Nov18
2MASS J04394748+2601407,4.3,0.2,--,--,2012Aug27
2MASS J04394748+2601407,--,--,0.31,0.02,2012Nov
