Target,F1375,e_F1375,F1123,e_F1123,ObsDate
V* IM Lup,199,20,331,33,2010May
EM* AS 205,--,--,528,53,2010Jun25
EM* AS 205,345,35,--,--,2010Jul30
EM* AS 209,349,35,--,--,2010May31
EM* AS 209,--,--,229,23,2010Jun06
V* V4046 Sgr,359,36,415,42,averaged
SAO 206462,--,--,269,27,2010May18
SAO 206462,135,13,--,--,2010Apr26
HD 142527,2330,230,1030,100,2010May
