Target,F2000,e_F2000,F1300,e_F1300,F1100,e_F1100,F850,e_F850,F800,e_F800,F600,e_F600,F450,e_F450,F350,e_F350,ObsDate
V* DG Tau,0.14,0.03,0.70,0.13,0.57,0.07,1.10,0.10,1.19,0.03,1.62,0.11,3.95,0.35,5.19,0.54,1990Dec30
Haro 6-13,0.17,0.05,--,--,0.26,0.04,0.34,0.07,0.34,0.03,0.64,0.04,1.10,0.10,2.01,0.18,1991Dec31
V* DO Tau,--,--,--,--,0.18,0.02,0.31,0.03,0.21,0.02,0.50,0.10,1.06,0.14,1.08,0.24,1990Dec31
V* DR Tau,0.17,0.17,--,--,0.18,0.04,0.49,0.07,0.35,0.03,0.61,0.05,1.34,0.24,1.85,0.38,1990Dec31
V* DL Tau,0.12,0.03,0.19,0.06,0.26,0.03,0.44,0.04,0.55,0.05,0.67,0.05,1.28,0.17.1,39,0.18,1990Dec30
V* RY Tau,--,--,--,--,0.28,0.09,0.56,0.03,0.54,0.06,0.96,0.04,1.92,0.16,2.43,0.33,1990Dec31
V* DO Tau,0.27,0.27,--,--,--,--,--,--,--,--,--,--,--,--,--,--,averaged
V* RY Tau,0.13,0.04,--,--,--,--,--,--,--,--,--,--,--,--,--,--,averaged
