Target,Bmag,eBmag,Vmag,eVmag,Rmag,eRmag,Imag,eImag,Jmag,eJmag,Hmag,eHmag,Kmag,eKmag,Lmag,eLmag,Mmag,eMmag,ObsDate
Sz 116,--,--,--,--,12.82,--,11.68,--,--,--,--,--,--,--,--,--,--,--,1992Mar
Sz 117,--,--,--,--,13.52,--,12.27,--,--,--,--,--,--,--,--,--,--,--,1992Mar
Sz 118,--,--,--,--,15.66,--,14.08,--,--,--,--,--,--,--,--,--,--,--,1992Mar
Sz 119,--,--,--,--,13.41,--,11.96,--,--,--,--,--,--,--,--,--,--,--,1992Mar
Sz 120,7.2,--,7.05,--,6.92,--,6.77,--,--,--,--,--,--,--,--,--,--,--,1992Mar
Sz 121,--,--,--,--,13.44,--,11.84,--,--,--,--,--,--,--,--,--,--,--,1992Mar
Sz 122,--,--,--,--,13.27,--,12.12,--,--,--,--,--,--,--,--,--,--,--,1992Mar
Sz 123,--,--,--,--,13.98,--,12.78,--,--,--,--,--,--,--,--,--,--,--,1992Mar
Sz 124,--,--,--,--,12.38,--,11.46,--,--,--,--,--,--,--,--,--,--,--,1992Mar
Sz 125,--,--,--,--,14.22,--,13.6,--,--,--,--,--,--,--,--,--,--,--,1992Mar
HR 5999,7.15,--,6.82,--,6.62,--,6.36,--,--,--,--,--,--,--,--,--,--,--,1992Mar
HR 6000,6.57,--,6.62,--,6.63,--,6.64,--,--,--,--,--,--,--,--,--,--,--,1992Mar
2MASS J16083331-3905268,12.93,--,12.09,--,11.31,--,10.39,--,--,--,--,--,--,--,--,--,--,--,1992Mar
V* RY Lup,12.32,--,11.23,--,10.58,--,9.94,--,--,--,--,--,--,--,--,--,--,--,1992Mar
V* EX Lup,13.07,--,12.34,--,11.67,--,10.88,--,--,--,--,--,--,--,--,--,--,--,1992Mar
Sz 126,--,--,--,--,12.6,--,11.65,--,--,--,--,--,--,--,--,--,--,--,1992Mar
Sz 127,--,--,--,--,14.11,--,12.61,--,--,--,--,--,--,--,--,--,--,--,1992Mar
Sz 128,--,--,--,--,14.18,--,12.7,--,--,--,--,--,--,--,--,--,--,--,1992Mar
Sz 129,--,--,--,--,11.91,--,11.09,--,--,--,--,--,--,--,--,--,--,--,1992Mar
Sz 130,--,--,--,--,13.66,--,12.41,--,--,--,--,--,--,--,--,--,--,--,1992Mar
Sz 131,--,--,--,--,14.87,--,13.38,--,--,--,--,--,--,--,--,--,--,--,1992Mar
Sz 133,--,--,--,--,15.55,--,14.56,--,--,--,--,--,--,--,--,--,--,--,1992Mar
Sz 134,--,--,--,--,13.06,--,12.15,--,--,--,--,--,--,--,--,--,--,--,1992Mar
Sz 65,--,--,--,--,--,--,--,--,9.03,--,8.32,--,7.96,--,--,--,--,--,1992Mar
Sz 66,--,--,--,--,--,--,--,--,10.55,--,9.75,--,9.17,--,--,--,--,--,1992Mar
Sz 67,--,--,--,--,--,--,--,--,9.95,--,9.32,--,9.08,--,--,--,--,--,1992Mar
Sz 68,--,--,--,--,--,--,--,--,7.62,--,6.93,--,6.52,--,--,--,--,--,1992Mar
[KPB2018] HT Lup C,--,--,--,--,--,--,--,--,10.39,--,9.72,--,8.96,--,--,--,--,--,1992Mar
Sz 78,--,--,--,--,--,--,--,--,8.82,--,8.02,--,7.8,--,--,--,--,--,1992Mar
Sz 79,--,--,--,--,--,--,--,--,9.4,--,8.66,--,8.48,--,--,--,--,--,1992Mar
NAME THA 15-10A,--,--,--,--,--,--,--,--,10.32,--,9.64,--,9.2,--,--,--,--,--,1992Mar
NAME THA 15-10B,--,--,--,--,--,--,--,--,11.58,--,11.07,--,11.14,--,--,--,--,--,1992Mar
Sz 82,--,--,--,--,--,--,--,--,8.88,--,8.13,--,7.65,--,--,--,--,--,1992Mar
Sz 83,--,--,--,--,--,--,--,--,8.46,--,7.68,--,6.86,--,--,--,--,--,1992Mar
Sz 84,--,--,--,--,--,--,--,--,10.92,--,10.25,--,9.86,--,--,--,--,--,1992Mar
Sz 85,--,--,--,--,--,--,--,--,6.06,--,5.29,--,5.06,--,--,--,--,--,1992Mar
Sz 86,--,--,--,--,--,--,--,--,12.1,--,11.44,--,11.22,--,--,--,--,--,1992Mar
Sz 87,--,--,--,--,--,--,--,--,12.41,--,12.06,--,11.91,--,--,--,--,--,1992Mar
V* HO Lup A,--,--,--,--,--,--,--,--,9.95,--,9.32,--,8.68,--,--,--,--,--,1992Mar
V* HO Lup B,--,--,--,--,--,--,--,--,11.11,--,10.38,--,9.82,--,--,--,--,--,1992Mar
Sz 89,--,--,--,--,--,--,--,--,7.95,--,7,--,6.63,--,--,--,--,--,1992Mar
Sz 90,--,--,--,--,--,--,--,--,10.31,--,9.36,--,8.7,--,--,--,--,--,1992Mar
Sz 92,--,--,--,--,--,--,--,--,11.24,--,10.61,--,10.43,--,--,--,--,--,1992Mar
Sz 93,--,--,--,--,--,--,--,--,11.1,--,10.52,--,10.36,--,--,--,--,--,1992Mar
Sz 97,--,--,--,--,--,--,--,--,11.25,--,10.57,--,10.27,--,--,--,--,--,1992Mar
Sz 98,--,--,--,--,--,--,--,--,9.65,--,8.73,--,7.96,--,--,--,--,--,1992Mar
Sz 108,--,--,--,--,--,--,--,--,9.76,--,9.09,--,8.78,--,--,--,--,--,1992Mar
NAME Sz 108B,--,--,--,--,--,--,--,--,12.02,--,11.21,--,10.86,--,--,--,--,--,1992Mar
Sz 116,--,--,--,--,--,--,--,--,10.84,--,10.13,--,9.91,--,--,--,--,--,1992Mar
Sz 116 NE,--,--,--,--,--,--,--,--,11.48,--,10.9,--,10.71,--,--,--,--,--,1992Mar
Sz 120,--,--,--,--,--,--,--,--,6.79,--,6.68,--,6.62,--,--,--,--,--,1992Mar
CD-39 10338C,--,--,--,--,--,--,--,--,9.2,--,9.17,--,8.91,--,--,--,--,--,1992Mar
Sz 124,--,--,--,--,--,--,--,--,10.34,--,9.7,--,9.47,--,--,--,--,--,1992Mar
Sz 124 SE,--,--,--,--,--,--,--,--,10.82,--,9.65,--,9.15,--,--,--,--,--,1992Mar
Sz 125,--,--,--,--,--,--,--,--,12.78,--,12.43,--,12.26,--,--,--,--,--,1992Mar
