Target,V,U,B,R,I,J,H,K,L,M,N,eV,eU,eB,eR,eI,eJ,eH,eK,eL,eM,eN,ObsDate
V* AA Ori,13.8,--,--,--,--,5.13,4.17,3.92,3.74,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
V* AA Tau,12.2,7.79,7.7,--,--,7.07,6.98,6.96,6.94,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
V* AB And,9.5,--,--,--,--,--,--,1.27,--,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
V* AB Leo,10.7,6.01,6.56,5.9,5.67,5.43,5.31,5.29,5.18,5.43,--,--,--,--,--,--,--,--,--,--,--,--,unknown
V* AB Ori,13.8,7.15,7.89,--,--,--,7.79,7.75,--,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
V* AC Per,11.8,8.32,8.96,--,--,--,--,7.67,7.72,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
V* AC Pup,8.9,7.74,8.46,--,--,--,--,7.33,7.07,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
V* AD Aql,11.5,15,10.5,--,--,3.99,2.86,2.41,1.85,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
V* AE And,15.1,6.82,6.74,5.56,5.18,4.84,4.49,4.43,--,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
V* AE Aqr,10.4,--,--,--,--,7.71,7.33,7.26,--,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
V* AF And,15.3,6.52,5.65,3.83,3.29,2.89,2.31,2.21,2.16,2.18,--,--,--,--,--,--,--,--,--,--,--,--,unknown
V* AF Cam,13.4,9.8,9.29,7.49,7.03,6.62,--,6.06,5.92,--,5.43,--,--,--,--,--,--,--,--,--,--,--,unknown
V* AH Eri,13.5,--,--,--,--,3.37,2.42,2.18,1.99,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
V* AH Her,10.9,6.79,7.58,--,--,6.9,6.8,6.67,6.33,6.01,5.55,--,--,--,--,--,--,--,--,--,--,--,unknown
V* AI Ori,13.5,--,--,--,--,4.88,3.98,3.75,3.42,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
V* AK Peg,8.6,5.37,5.56,--,--,5.2,5.57,5.66,--,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
V* AL Ori,14.1,--,--,--,--,2.94,1.95,1.66,1.43,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
V* AM Cen,10.4,--,--,--,--,4.23,4.24,2.97,2.79,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
V* AM Her,12.3,--,--,--,--,4.11,3.12,2.55,2.01,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
V* AN UMa,14.9,5.82,6.29,--,--,6.72,6.74,6.81,6.77,6.21,--,--,--,--,--,--,--,--,--,--,--,--,unknown
V* AP Lib,14,1.48,1.95,2.09,2.19,2.3,2.33,2.37,2.37,2.41,2.46,--,--,--,--,--,--,--,--,--,--,--,unknown
V* AR And,11,--,--,--,--,4.54,3.57,3.33,3.16,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
V* AR Ori,14.2,2.73,2.61,1.97,1.77,1.63,1.43,1.44,1.35,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
V* AR Pav,7.4,--,--,--,--,7.27,7.36,7.39,7.34,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
V* AR Pup,8.7,--,--,--,--,11.37,11.08,11.1,--,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
V* AR Sgr,9.1,--,--,--,--,--,2.2,1.81,1.27,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
V* AS Cir,12,5.73,4.89,3.11,2.59,2.18,1.68,1.56,1.44,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
V* AU Cru,12.4,11.79,11.21,--,--,5.33,4.3,4.02,3.71,3.5,--,--,--,--,--,--,--,--,--,--,--,--,unknown
V* AU Eri,10.5,5.69,5.44,4.62,4.33,4.06,3.84,3.81,3.75,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
V* AV Ori,14,5.35,5.38,--,--,3.94,3.68,3.63,3.59,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
V* AW Cyg,11,1.75,2.61,2.94,3.13,3.36,3.43,3.49,3.51,3.57,--,--,--,--,--,--,--,--,--,--,--,--,unknown
V* AX Per,9.4,6.19,6.24,--,--,6.26,--,6.28,--,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
V* AZ Aur,10.5,9.59,7.49,--,--,2.45,1.58,1.35,1.18,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
V* AZ Cru,11.8,8.55,6.74,--,--,1.59,0.7,0.49,0.34,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
V* AZ Ori,13.1,8.28,6.37,3.45,2.32,1.62,0.77,0.61,0.47,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
V* BD Ori,13.3,8.07,6.12,3.06,1.92,1.29,0.36,0.19,0.06,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
BD-01 1792,9.23,--,--,--,--,1.48,0.61,0.2,-0.32,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
BD-01 306,9.09,--,--,--,--,7.05,7.04,7.03,7.03,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
BD-05 1318,9.7,--,--,--,--,3.36,2.39,2.15,1.96,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
BD-05 4743,10.2,--,--,--,--,9,8.47,7.96,--,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
BD-06 4827,10.46,4.72,4.67,4.53,4.52,1.46,0.78,0.37,--,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
BD-08 4645,10.38,--,--,--,--,5.01,4.04,3.69,3.22,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
BD-08 4652,9.9,5.04,6.01,--,--,6.29,6.37,6.21,5.94,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
BD-05 1329,8.7,4.64,4.57,4.44,4.44,4.41,4.38,4.38,--,4.42,--,--,--,--,--,--,--,--,--,--,--,--,unknown
BD-05 1935,9.4,7.27,7.29,--,--,6.95,6.85,6.82,6.79,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
BD-06 1259,9.69,5.94,4.77,2.7,2.11,1.66,1.09,0.95,0.83,1.08,-0.44,--,--,--,--,--,--,--,--,--,--,--,unknown
BD-10 1839,9.76,--,12.23,--,--,2.83,1.7,0.97,0.18,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
BD-10 4738,9.55,7.51,8.28,--,--,--,--,7.76,7.82,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
BD-11 5117,10.2,4.82,4.8,3.73,3.4,3.19,2.88,2.83,2.77,2.86,--,--,--,--,--,--,--,--,--,--,--,--,unknown
BD-12 4970,8.78,9.53,10.03,--,--,--,8.33,8.13,--,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
BD-12 4982,9.26,--,--,--,--,4.61,3.61,3.33,3.12,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
BD-12 5008,9.81,11.08,8.97,5.33,4.03,--,--,1.75,1.65,1.7,--,--,--,--,--,--,--,--,--,--,--,--,unknown
BD-13 4930,9.45,--,--,--,--,4.48,3.66,3.22,2.74,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
BD-14 5029,9.61,--,--,--,--,5.14,4.22,4,3.82,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
BD-14 5037,8.41,7.29,7.05,--,--,5.29,4.97,4.9,--,4.92,--,--,--,--,--,--,--,--,--,--,--,--,unknown
BD-15 872,9.22,8.63,8.47,2.96,-0.05,--,--,--,-1.55,-1.67,--,--,--,--,--,--,--,--,--,--,--,--,unknown
BD-16 4187,10.92,--,--,--,--,5.71,4.93,4.49,3.93,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
BD-17 4554,8.7,10.21,8.38,--,--,3.31,2.44,2.24,2.05,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
BD-19 4907,9.4,9.53,9.34,--,--,10.98,--,8.53,--,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
BD-19 967,9.92,10.61,9.36,4.45,2.3,1.17,--,-0.4,-1.24,--,-2.6,--,--,--,--,--,--,--,--,--,--,--,unknown
BD-20 3283,6.8,--,--,--,--,4.51,3.65,3.27,2.84,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
BD-20 5056B,11.21,--,--,--,--,5.94,5.05,4.85,4.68,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
BD-21 4897,9.78,3.52,3.41,2.28,1.94,1.72,1.4,1.34,1.31,1.38,--,--,--,--,--,--,--,--,--,--,--,--,unknown
BD+00 4030,10.44,--,--,--,--,5.84,4.91,4.68,4.49,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
BD+02 3336,9.4,--,--,--,--,--,--,6.18,6.11,5.92,4.55,--,--,--,--,--,--,--,--,--,--,--,unknown
BD+02 3375,9.92,4.22,4.11,3.78,3.7,3.63,3.54,3.53,3.47,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
BD+03 740,9.81,--,--,--,--,5.1,4.18,3.95,3.77,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
BD+04 3804,9.21,--,--,--,--,3.23,2.15,1.66,1.08,1.26,--,--,--,--,--,--,--,--,--,--,--,--,unknown
BD+09 352,10.18,8.53,6.71,3.32,1.78,1.04,0.08,-0.13,-0.27,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
BD+09 3920,9.36,8.26,6.45,3.22,1.84,1.24,0.29,0.08,-0.06,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
BD+00 2900,9.9,--,--,--,--,4.74,3.78,3.56,3.38,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
BD+00 4064,8.8,13.53,12.5,--,--,5.13,4.26,3.96,3.53,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
BD+00 4900,10.44,--,--,--,--,6.52,6.12,5.96,--,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
BD+03 3281,9.45,9.19,7.28,--,--,2.85,2.04,1.88,1.72,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
BD+06 4990,9.25,5.59,5.95,--,--,5.91,--,5.76,--,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
BD+07 3348,9.93,8.66,8.51,--,--,6.07,5.55,5.47,5.44,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
BD+08 1427,11,--,--,--,--,4.35,3.49,3.06,2.54,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
BD+10 1219,8.81,--,--,--,--,9.99,9.2,8.41,--,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
BD+10 1222,9.88,9.58,9.28,--,--,6.85,6.4,6.32,--,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
BD+11 4381,9.52,--,--,--,--,7.17,7.09,7.07,7.04,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
BD+11 468,10.78,10.52,10.17,--,--,9.52,9.38,9.31,--,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
BD+13 1110,9.01,3.5,4.3,4.02,3.96,3.99,3.81,3.88,3.82,3.74,3.49,--,--,--,--,--,--,--,--,--,--,--,unknown
BD+13 1212,10.44,8.12,7.32,5.61,5.09,4.61,4.15,4.07,--,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
BD+17 3325,8.73,--,--,--,--,6.27,5.38,5.21,5.09,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
BD+17 4708,9.46,5.15,5.13,--,--,5.04,5.03,5.02,5,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
BD+18 3423,9.79,8.19,8.11,--,--,7.25,7.12,7.09,--,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
BD+19 1730,10.74,--,--,--,--,4.25,3.37,3.15,2.96,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
BD+19 3109,10.38,--,--,--,--,3.91,2.93,2.71,2.53,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
BD+19 5116,9.89,--,6.35,--,--,5.58,5.5,5.45,5.36,5.23,--,--,--,--,--,--,--,--,--,--,--,--,unknown
BD+20 2465,8.07,--,--,--,--,7.96,7.24,6.96,--,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
BD+21 4633,9.87,--,--,--,--,4.58,3.62,3.38,3.21,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
BD+23 1138,10.26,2.58,3.47,3.74,3.95,4.24,--,4.4,4.45,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
BD+23 2998,9.8,3.65,4.2,4.4,4.52,4.65,4.68,4.72,4.72,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
BD+24 2183,9.94,--,--,--,--,3.5,2.5,2.24,2.04,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
BD+26 2606,9.73,--,--,--,--,4.79,3.86,3.62,3.42,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
BD+27 1706,9.6,5.72,5.25,3.7,3.19,2.83,2.33,2.22,2.13,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
BD+27 2174,9.68,9.54,9.7,--,--,8.21,7.93,7.9,--,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
BD+27 2178,10.41,6.04,4.56,2.36,1.7,1.18,--,0.43,0.3,--,-0.01,--,--,--,--,--,--,--,--,--,--,--,unknown
BD+27 2183,10.55,7.29,6.71,5.21,4.82,4.47,4.03,3.97,3.83,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
BD+27 2188,9.92,4.52,3.4,1.45,0.85,0.42,--,-0.25,-0.46,--,-0.41,--,--,--,--,--,--,--,--,--,--,--,unknown
BD+27 2190,10.44,6.28,5.56,3.84,3.32,2.97,2.45,2.85,2.32,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
BD+28 2162,11.06,4.05,4.71,4.82,4.94,5.02,--,5.13,5.03,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
BD+28 2169,9.71,--,5.9,--,--,5.62,5.66,5.65,5.62,5.22,--,--,--,--,--,--,--,--,--,--,--,--,unknown
BD+28 54,9.15,--,--,--,--,--,17.03,16.06,--,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
BD+29 366,8.77,10.83,11.13,--,--,8.36,6.99,5.85,4.57,4,2.1,--,--,--,--,--,--,--,--,--,--,--,unknown
BD+30 2034,10.34,10.28,10.55,--,--,--,7.88,7.49,6.81,6.39,4.68,--,--,--,--,--,--,--,--,--,--,--,unknown
BD+30 2162,9.26,10.41,10.6,--,--,9.19,8.94,8.92,--,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
BD+30 2512,8.57,--,--,--,--,15.68,15.35,14.84,--,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
BD+30 2611,9.13,3.9,3.02,1.29,0.78,0.39,-0.12,-0.23,-0.34,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
BD+30 549,10.47,10.54,8.93,--,--,3.65,2.79,2.56,2.29,2.46,2.25,--,--,--,--,--,--,--,--,--,--,--,unknown
BD+31 653,10.43,3.91,4.44,4.45,4.5,4.62,4.68,4.68,4.56,4.36,4.39,--,--,--,--,--,--,--,--,--,--,--,unknown
BD+32 2489,9.73,--,--,--,--,5.1,4.14,3.93,3.76,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
BD+34 2476,10.06,6.86,6.76,--,--,5,4.7,4.64,--,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
BD+35 3955,7.38,9.8,9.75,--,--,7.41,6.95,6.86,--,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
BD+35 4077,9.72,8.79,7.03,--,--,1.43,0.46,0.23,0.08,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
BD+35 4138,9.18,--,--,--,--,5.43,4.55,4.37,4.21,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
BD+36 2165,9.76,--,--,--,--,3.72,2.72,2.44,2.23,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
BD+36 4025,8.4,6.05,5.18,3.21,2.62,2.19,--,1.52,--,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
BD+36 746,10.36,7.22,6.64,4.99,4.52,4.24,3.72,3.61,3.48,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
BD+37 1146,6.76,4.04,4.02,2.94,2.58,2.37,2.02,1.99,1.84,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
BD+37 1160,7.48,7.83,5.95,3.27,2.4,1.75,1,0.83,0.71,0.98,--,--,--,--,--,--,--,--,--,--,--,--,unknown
BD+37 1458,8.92,3.8,4.38,4.56,4.71,4.85,4.92,4.93,4.96,4.96,--,--,--,--,--,--,--,--,--,--,--,--,unknown
BD+37 2635,10.36,--,--,--,--,5.18,4.32,3.91,3.5,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
BD+37 3903,11.3,6.13,6.16,--,--,6.22,6.24,6.22,--,6.17,--,--,--,--,--,--,--,--,--,--,--,--,unknown
BD+37 3927,10.15,9.88,8.08,4.73,3.64,--,--,1.54,1.32,1.59,1.34,--,--,--,--,--,--,--,--,--,--,--,unknown
BD+38 1162,9.77,7.13,7.43,6.28,5.9,5.58,5.38,5.22,5.06,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
BD+38 4955,11.01,--,--,--,--,4.32,3.37,3.08,--,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
BD+39 4208,8,5.43,5.34,4.32,4.02,3.85,3.56,3.54,3.4,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
BD+40 4124,10.62,8.24,6.34,3.55,2.64,2.06,1.19,1.03,0.93,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
BD+40 4219,10.22,--,--,--,--,5.89,5.4,5.28,5.17,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
BD+40 4227,8.98,--,--,--,--,5.74,4.89,4.74,4.57,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
BD+41 3306,8.86,--,--,--,--,3.86,2.97,2.49,--,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
BD+41 3804,9.88,7.37,6.46,4.67,4.17,3.76,3.23,3.15,3.1,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
BD+43 1183,9.45,1.18,2.29,2.32,2.4,2.36,2.22,2.11,1.75,1.54,1.04,--,--,--,--,--,--,--,--,--,--,--,unknown
BD+43 3477,10.11,4.14,3.99,3.72,3.64,3.57,3.5,3.49,--,3.48,--,--,--,--,--,--,--,--,--,--,--,--,unknown
BD+44 1005,10.24,6.05,5.36,3.69,3.21,2.79,--,2.24,--,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
BD+45 1668,9.51,5.82,5.95,--,--,5.97,5.96,5.94,5.96,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
BD+45 3349,8.85,--,--,--,--,4.04,3.14,2.79,--,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
BD+46 3471,10.15,3.52,4.09,4.3,4.43,4.63,4.69,4.7,4.67,4.49,--,--,--,--,--,--,--,--,--,--,--,--,unknown
BD+47 965,9.94,9.7,7.78,--,--,2.65,1.77,1.57,1.38,1.67,--,--,--,--,--,--,--,--,--,--,--,--,unknown
BD+48 1958,10.41,--,--,--,--,3.22,2.26,2.02,1.82,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
BD+51 1696,9.92,8.71,8.42,7.07,6.66,6.36,5.99,5.93,--,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
BD+54 739,10.1,--,--,--,--,4.9,3.67,3.02,--,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
BD+55 1823,9.46,5.27,5.45,--,--,5.66,--,5.68,--,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
BD+55 778,9.98,5.95,5.24,3.5,2.98,2.6,--,2,--,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
BD+56 473,9.07,10.54,8.59,--,--,3.79,2.89,2.71,2.54,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
BD+56 502,9.28,--,--,--,--,11.34,11.1,10.88,--,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
BD+56 510,9.32,4.75,4.19,2.59,2.08,1.82,1.35,1.26,1.18,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
BD+56 511,9.11,6.9,6.74,6.54,6.48,6.48,6.4,6.38,6.3,5.58,--,--,--,--,--,--,--,--,--,--,--,--,unknown
BD+56 512,10.4,--,--,--,--,4.48,3.62,3.21,2.76,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
BD+56 513,9.94,--,--,--,--,--,--,6.8,6.6,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
BD+56 515,9.54,5.93,5.84,4.53,4.11,--,--,3.3,3.4,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
BD+56 516,10.36,5.95,5.86,4.55,4.13,3.81,3.39,3.35,3.3,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
BD+56 517,10.5,14.52,12.33,--,--,3.9,2.84,2.43,2.05,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
BD+56 518,10.59,10.88,10.99,--,--,9.5,9.27,9.23,--,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
BD+56 519,9.65,--,--,--,--,5.73,4.84,4.65,4.48,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
BD+56 520,9.85,5.79,4.6,2.61,2.03,1.6,1.01,0.86,0.77,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
BD+56 524,9.75,--,--,--,--,4.52,3.53,3.3,3.1,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
BD+56 563,9.45,8.48,8.4,--,--,6.19,5.74,5.67,--,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
BD+56 566,9.86,3.84,4.18,4.22,4.27,--,4.29,4.31,4.36,4.11,3.89,--,--,--,--,--,--,--,--,--,--,--,unknown
BD+56 571,9.36,8.81,7.91,--,--,4.64,3.98,3.86,3.81,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
BD+56 572,9.9,5.58,3.62,0.81,-0.19,-0.84,-1.65,-1.87,-2.01,-1.77,-2.02,--,--,--,--,--,--,--,--,--,--,--,unknown
BD+56 573,9.66,--,--,--,--,--,9.7,9.78,--,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
BD+56 574,8.53,--,--,--,--,14.72,14.41,13.81,--,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
BD+56 575,9.08,--,11.55,--,--,--,3.02,2.67,2.29,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
BD+56 576,9.38,4.64,4.51,4.16,4.09,4.06,4.07,3.99,4,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
BD+56 578,9.25,--,--,--,--,4.61,3.11,1.98,0.7,0.1,--,--,--,--,--,--,--,--,--,--,--,--,unknown
BD+56 586,9.94,9.86,8.33,--,--,2.82,1.82,1.59,1.4,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
BD+56 595,8.18,--,--,--,--,5.02,4.18,3.72,3.18,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
BD+56 624,9.65,--,--,--,--,3.98,3.1,2.68,2.19,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
BD+58 2396,10.03,--,--,--,--,4.7,3.76,3.53,3.35,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
BD+58 501,11.5,6.57,5.69,3.91,3.39,3.01,2.53,2.38,2.26,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
BD+59 2541,9.96,10.8,10.78,--,--,8.86,8.5,8.44,--,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
BD+59 274,8.54,5.65,5.54,4.47,4.11,4,3.71,3.67,3.63,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
BD+59 580,9.91,12.85,9.46,--,--,2.35,1.29,0.86,0.35,0.8,--,--,--,--,--,--,--,--,--,--,--,--,unknown
BD+59 594,8.9,--,--,--,--,4.89,4.41,4.3,4.21,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
BD+60 2522,8.67,6.06,6.75,--,--,--,6.31,6.05,--,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
BD+60 2613,8.9,--,--,--,--,3.91,3.01,2.44,1.81,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
BD+60 2634,9.18,9.25,9.74,--,--,--,8.9,8.7,--,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
BD+60 310,9.22,9.48,9.49,8.36,8,7.74,7.41,7.37,--,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
BD+60 478,11.91,7,7.37,--,--,6.08,5.84,5.78,5.69,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
BD+61 154,10.6,13.04,10.74,6.86,5.44,4.43,3.54,3.25,3,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
BD+61 219,9.46,6.15,5.66,4.34,3.78,3.46,3.12,3.09,2.91,2.83,2.79,--,--,--,--,--,--,--,--,--,--,--,unknown
BD+61 2352,10.01,--,--,--,--,3.89,3,2.54,2.08,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
BD+61 40,9.55,--,--,--,--,5.26,4.39,4.21,4.03,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
BD+61 8,9.49,--,--,--,--,7.71,6.88,6.51,5.95,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
BD+62 207,9.82,5.57,4.65,2.83,2.26,1.84,--,1.18,--,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
BD+62 2210,8.42,2.94,2.81,2.53,2.44,2.45,2.4,2.34,2.36,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
BD+63 2073,10.15,--,--,--,--,5.18,4.25,4.03,3.88,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
BD+63 3,8.3,--,--,--,--,14.99,14.55,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
BD+64 1842,9.75,--,--,--,--,3.78,2.82,2.59,2.39,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
BD+65 1055,10.34,5.25,5.25,4.42,4.19,4.01,--,3.77,--,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
BD+66 268,9.91,17.26,9.59,3.69,2.3,1.44,0.49,-0.02,0.03,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
BD+66 717,10.74,--,--,--,--,4.06,3.14,2.93,2.77,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
BD+67 922,9.74,7.75,6.22,3.78,3.04,2.42,1.69,1.52,1.44,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
BD+68 946,9.15,7.77,8.02,--,--,--,--,5.99,6.09,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
BD+71 31,10.23,--,--,--,--,3.42,2.63,2.14,1.66,1.35,--,--,--,--,--,--,--,--,--,--,--,--,unknown
BD+72 94,9.92,--,--,--,--,8,8.6,8.33,8.4,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
V* BE Ori,13,5.33,4.59,2.9,2.4,2.03,--,1.43,--,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
V* BF Cyg,9.3,--,--,--,--,--,10.66,10.45,7.6,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
V* BG Mon,9.2,6.32,6.23,--,--,6.05,6.02,6.02,--,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
V* BI Cru,11,9.46,9.33,--,--,8.82,--,8.49,--,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
