Target,V,U,B,R,I,J,H,K,L,M,N,eV,eU,eB,eR,eI,eJ,eH,eK,eL,eM,eN,ObsDate
HD 225160,8.19,10.72,9.67,7.76,7.24,6.63,--,5.89,4.93,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 225217,8,8.82,7.19,3.63,1.84,0.92,0.03,-0.23,-0.43,-0.16,--,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 225239,6.11,3.29,4.08,--,--,4.74,4.77,4.84,4.87,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 22611,11,--,--,--,--,8.47,8.16,8.09,7.87,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 2262,3.94,--,--,--,--,10.02,8.79,7.89,6.82,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 22649,5.11,8.14,6.27,3.64,2.83,2.14,--,1.2,--,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 22663,4.58,4.71,5.5,5.44,5.4,5.53,5.49,5.41,5.29,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 226868,8.91,--,--,--,--,6.46,5.63,5.19,4.78,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 227460,9.49,--,--,--,--,2.61,1.65,1.29,0.97,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 227463,8.35,9.86,9.88,--,--,6.76,6.45,6.26,6.11,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 22764,5.78,9.01,7.36,--,--,3.3,2.53,2.38,--,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 22780,5.57,8.25,8.74,7.63,7.21,6.83,6.65,6.51,6.35,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 228712,8.67,8.57,8.51,--,--,6.65,6.17,6.08,6.16,5.8,--,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 228766,9.14,9.41,9.34,8.18,7.81,7.49,7.15,7.13,--,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 228779,8.92,5.86,5.55,4.28,3.92,3.64,--,3.27,--,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 22879,6.68,4.92,4.84,3.77,3.47,3.2,2.91,2.87,2.81,2.86,--,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 229059,8.7,7.78,7.83,--,--,6.22,5.91,5.87,5.79,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 22920,5.53,--,7.28,--,--,2.86,--,1.85,--,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 22928,3.01,7.43,8.19,--,--,7.56,7.51,7.49,7.37,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 23016,5.69,--,--,--,--,3.92,2.94,2.64,2.44,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 23060,7.48,5.35,5.41,4.48,4.21,3.99,3.72,3.65,3.59,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 231195,7.8,6.15,6.98,--,--,6.66,6.61,6.59,6.55,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 23180,3.83,9.24,8.52,--,--,-0.63,-1.54,-1.79,-2.05,-1.95,--,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 232078,8.7,9.03,7.17,--,--,2.84,--,1.88,--,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 23230,3.8,14.09,10.03,--,--,2.08,0.99,0.6,0.23,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 23249,3.54,8.42,6.47,--,--,1.5,--,0.41,--,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 232766,9.25,--,--,--,--,8.61,8.31,7.7,7.61,7.3,--,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 23281,5.61,7.4,8.17,--,--,7.52,7.49,7.46,7.23,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 23288,5.46,4.58,3.92,2.4,1.93,1.53,1.05,0.97,0.85,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 23302,3.7,--,--,--,--,3.8,2.54,2.04,1.58,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 23324,5.64,9.55,8.39,--,--,2.14,1.24,0.95,0.8,0.66,--,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 23338,4.3,--,--,--,--,3.72,2.6,2.01,1.4,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 233511,9.76,5.7,6.39,5.77,5.52,5.34,5.24,5.17,5.1,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 23408,3.87,2.77,2.76,2.68,2.69,2.71,2.72,2.72,2.67,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 2342,9.9,--,--,--,--,3.4,2.61,2.25,1.8,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 23432,5.76,--,--,--,--,3.48,2.37,1.88,1.36,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 234677,8.04,5.3,6.02,5.75,5.65,5.63,5.63,5.54,5.47,5.56,--,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 23475,4.48,8.53,8.58,--,--,6.13,5.89,5.75,5.69,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 23480,4.18,9.67,7.75,--,--,2.37,--,1.23,--,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 23489,7.34,--,--,--,--,5.72,5.73,5.76,5.74,5.39,--,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 23512,8.09,2.11,2.08,2.1,2.12,2.1,--,2.11,--,--,2.24,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 23552,6.14,--,--,--,--,12.17,11.48,11.18,8.88,--,4.33,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 235749,8.9,-0.2,0.74,1.06,1.3,1.5,1.54,1.64,1.66,1.62,1.78,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 23614,4.42,--,--,--,--,5.68,4.27,3.59,2.92,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 23630,2.87,7.31,6.29,--,--,3.34,2.77,2.66,2.58,2.61,2.49,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 236429,8.63,4.26,4.18,3.85,3.78,3.72,3.67,3.61,3.53,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 236689,9.46,--,--,--,--,--,--,7.76,7.75,7.39,6.03,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 236697,8.62,8.52,6.77,--,--,2.51,--,1.53,--,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 2367,10.5,9.32,7.42,--,--,2.74,--,1.67,--,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 236835 B,8.82,8.29,8.38,--,--,9.02,8.97,8.91,--,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 236947,8.63,5.95,5.69,4.37,3.98,3.69,3.29,3.25,3.15,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 236979,10.01,--,--,--,--,8.06,7.47,7.25,6.76,6.4,4.5,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 237008,9.62,7.26,6.58,2.27,-0.15,-1.16,-2.05,-2.51,-2.97,-3.06,-3.55,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 237010,9.38,--,--,--,--,8.88,7.98,6.91,5.63,5.16,--,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 23753,5.45,6.08,5.04,3.04,2.45,2,--,1.32,--,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 237929,9.1,8.25,6.29,3.23,2.07,1.38,0.52,0.29,0.16,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 23793,5.07,--,5.73,--,--,5.65,5.55,5.62,--,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 23802,7.44,--,--,--,--,8.88,8.54,8.23,7.93,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 23848,5.11,8.87,7.96,--,--,1.56,0.79,0.21,-0.18,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 23850,3.63,9.14,9.12,--,--,8.84,8.78,8.8,--,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 23862,5.09,9.13,9.68,--,--,7.98,7.8,7.69,7.57,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 239683,9.32,--,11.51,--,--,5.71,4.86,4.71,4.21,4.08,--,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 239689,8.83,4.96,4.96,4.86,4.89,4.9,4.9,4.9,4.89,4.93,--,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 239693,9.54,14.04,13,--,--,7,6.29,6.23,6.13,6.13,--,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 239710,9.5,3.58,3.5,3.31,3.25,3.17,3.05,3.07,3.04,3.11,--,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 239724,9.14,5.43,5.38,4.57,4.27,3.93,3.61,3.53,3.47,3.44,--,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 239725,9.15,--,--,--,--,12.18,11.48,11.87,--,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 239729,8.35,13.59,9.87,--,--,3.55,2.42,1.69,1.27,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 239738,8.57,9.14,7.29,--,--,2.47,1.66,1.44,--,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 239742,9.41,9.58,9.52,--,--,7.58,7.19,7.14,--,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 239745,8.92,9.9,8.18,5.3,4.24,3.95,3.19,3.04,--,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 239748,8.75,1.16,2.08,2.45,2.7,2.82,2.92,2.99,3.01,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 239978,9.7,8.65,7.5,--,--,--,--,--,--,--,-1.76,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 24035,8.51,--,--,--,--,5.87,5.52,5.4,--,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 24039,9.3,8.25,6.29,3.26,2.14,1.42,0.56,0.35,0.23,--,0.69,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 240764,9.6,8.59,7.49,--,--,3.4,2.67,2.4,2.08,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 2411,5.06,8.59,6.64,--,--,1.68,0.88,0.64,0.58,0.87,--,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 24155,6.38,--,--,--,--,9.22,8.87,8.19,7.43,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 24160,4.17,--,5.92,--,--,6.21,6.25,6.32,6.33,6.13,--,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 2429,4.81,9.39,8.44,6.39,5.72,5.22,4.62,4.51,--,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 24308,9.1,6.65,7.47,7.51,7.51,7.61,7.67,7.7,7.75,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 24341,7.83,4.61,4.61,3.9,3.69,3.61,--,3.39,--,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 24398,2.85,10.24,9.05,4.74,3.54,--,1.8,1.42,1.07,0.56,-3.18,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 244138,10.1,--,--,--,--,3.22,2.14,1.75,1.41,1.8,--,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 24431,6.74,8.99,7.05,--,--,2.03,--,0.9,--,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 24479,5.04,5.02,4.98,4.09,3.85,3.63,--,3.36,--,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
