Target,F1300,e_F1300,ObsDate
V* V883 Ori,353,35,unknown
HBC 494,113,11,unknown
V* V2775 Ori,106,10,unknown
V* V1647 Ori,78,8,unknown
V* NY Ori,32,3,unknown
V* V1143 Ori,2.3,0.2,unknown
V* V1118 Ori,1.3,0.1,unknown
ASASSN -13db,0.3,0.07,unknown
