Target,F8820,eF8820,F49600,eF49600,ObsDate
HD 98800A,0.080,0.015,--,--,2012Oct
HD 98800B,0.810,0.090,--,--,2012Oct
HD 98800A,--,--,0.160,0.030,2011Jul06
HD 98800B,--,--,0.090,0.030,2011Jul06
