Target,F70,eF70,F100,eF100,F160,eF160,F250,eF250,F350,eF350,F500,eF500
V* V1057 Cyg,30.0,3.0,30.1,3.0,28.2,2.8,15.8,1.6,8.1,1.2,2.8,0.6
V* V1331 Cyg,7.5,0.8,9.7,1.0,11.6,1.2,9.9,1.1,6.4,1.0,2.7,0.6
V* V1515 Cyg,4.6,0.5,3.9,0.4,5.0,0.5,4.3,0.8,2.1,0.6,0.9,0.4
V* V1735 Cyg,17.1,1.7,19.7,2.0,27.1,2.7,49.4,49.4,27.3,27.3,11.0,11.0
V* FU Ori,6.5,0.7,5.9,0.6,4.9,0.5,2.8,0.5,2.5,0.6,0.9,0.3
HBC 722,0.41,0.02,--,--,--,--,--,--,--,--,--,--
